Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,talk_id,main_rating
4573,242,3253,10581,19645,7346,6073,24924,4439,387,1174,209,10704,300,1,Inspiring
58,62,139,132,544,443,56,413,116,113,203,131,268,258,2,Funny
60,27,45,166,964,395,183,230,54,78,146,142,230,104,3,Funny
291,32,760,132,59,380,105,1070,230,53,85,35,460,36,4,Inspiring
942,72,318,4606,1390,5433,3202,2893,3736,110,248,61,2542,67,5,Informative
706,301,721,1350,1102,1038,397,5211,669,285,441,335,2423,377,6,Inspiring
277,72,477,316,2484,226,320,438,61,193,308,290,311,225,7,Funny
98,25,34,153,9,121,195,175,57,26,63,5,37,26,8,Ingenious
145,70,562,313,60,623,211,441,60,177,154,83,764,283,9,Persuasive
767,111,476,459,26,304,116,2556,209,306,245,371,1543,838,10,Inspiring
51,14,169,148,18,187,258,608,66,34,39,7,160,21,11,Inspiring
70,7,96,41,5,33,20,201,20,16,26,1,42,14,12,Inspiring
16,2,86,83,3,188,57,240,70,9,11,5,111,5,13,Inspiring
277,19,34,919,104,461,1014,471,4643,55,188,23,77,32,14,Jaw-dropping
32,6,83,67,14,104,89,216,29,20,30,11,49,31,15,Inspiring
1671,10,143,635,190,22,190,879,2280,29,95,39,41,15,16,Jaw-dropping
1107,22,85,454,24,32,197,552,1997,35,68,31,22,53,17,Jaw-dropping
67,7,150,159,21,279,321,515,63,19,30,4,140,13,18,Inspiring
259,80,79,220,49,71,185,363,93,119,68,210,22,113,19,Inspiring
104,13,63,181,19,478,170,277,54,46,68,11,73,14,20,Informative
22,8,52,111,12,320,117,258,26,30,69,6,120,26,21,Informative
74,203,75,177,2799,61,387,196,80,266,450,239,20,137,22,Funny
54,40,33,34,106,82,9,86,3,119,87,41,23,67,23,Longwinded
864,115,177,2106,780,2591,345,1083,207,245,394,111,1513,249,24,Informative
342,13,654,144,109,154,44,789,97,31,26,43,97,27,25,Inspiring
91,42,92,515,131,446,269,397,139,45,73,21,1234,49,26,Persuasive
333,42,112,1281,127,653,417,674,324,91,93,39,367,41,27,Fascinating
12,7,93,404,485,532,175,43,61,35,44,17,109,19,28,Informative
333,80,87,2082,1668,2004,1127,1276,290,190,361,51,1014,115,29,Fascinating
444,241,248,4303,1728,3899,1166,3554,1047,169,439,67,2355,174,30,Fascinating
277,54,400,2491,1526,2532,1201,2427,521,178,421,115,2478,324,31,Informative
68,30,171,356,13,277,279,377,152,84,75,58,93,38,32,Inspiring
65,206,350,812,215,536,297,518,337,215,145,120,1359,309,33,Persuasive
6,11,55,61,1,153,112,164,18,16,32,3,66,8,34,Inspiring
60,4,53,62,5,138,30,260,6,5,21,3,92,16,35,Inspiring
11,11,53,27,1,101,42,71,3,31,25,4,51,4,36,Informative
48,25,139,44,9,218,31,113,35,21,51,11,112,35,37,Informative
30,23,168,247,63,336,86,498,63,70,115,47,198,77,38,Inspiring
44,1,274,124,80,44,7,288,74,10,20,7,22,18,39,Inspiring
68,12,104,51,26,80,22,294,39,41,24,33,145,30,40,Inspiring
106,11,52,149,8,184,20,158,95,58,27,10,64,10,41,Informative
6,4,11,74,1,115,126,48,18,18,23,8,27,20,42,Ingenious
13,67,15,357,103,844,106,87,73,98,75,11,364,2,43,Informative
136,51,109,799,2751,1344,509,373,133,37,237,157,1958,151,44,Funny
55,91,61,691,18,806,207,388,309,150,141,27,237,111,45,Informative
52,87,34,311,11,269,192,279,49,147,111,24,1084,136,46,Persuasive
23,8,180,27,5,145,36,222,33,25,36,3,92,14,47,Inspiring
576,43,457,777,2966,1912,638,4978,251,27,685,57,1433,213,48,Inspiring
408,45,44,186,949,21,377,195,94,41,135,73,25,56,49,Funny
8,28,31,85,54,749,31,151,62,8,133,14,331,61,50,Informative
